School Year,System Id,System Name,AJC_ATL_metro_ID,School Id,School Name,Grade Configuration,Grade Cluster,CCRPI Score,Achievement Points,Progress Points,Achievement Gap Points,ETB Points,EL/ED/SWD Performance Points,Challenge Points
2012,605,Baldwin County,N,0199,Creekside Elementary School,"KK, 01, 02, 03, 04, 05",E,74.5,52.3,9.9,9.8,1,1.5,2.5
2012,605,Baldwin County,N,0195,Blandy Hills Elementary School,"KK, 01, 02, 03, 04, 05",E,68.2,51.1,7.8,8.3,1,0,1
2012,605,Baldwin County,N,0194,Midway Elementary School,"KK, 01, 02, 03, 04, 05",E,65.4,46.4,10,7.5,1.5,0,1.5
2012,605,Baldwin County,N,0189,Baldwin High School,"09, 10, 11, 12",H,62.9,43.8,9,8.4,0,1.7,1.7
2012,606,Banks County,N,0205,Banks County Primary School,"PK, KK, 01, 02",E,98.8,68.8,NA,NA,0.5,,0.5
2012,606,Banks County,N,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",M,93.2,64.6,10.9,15,0,2.7,2.7
2012,606,Banks County,N,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",E,90.8,62.9,10.5,14.3,0,3.1,3.1
2012,606,Banks County,N,0105,Banks County Middle School,"06, 07, 08",M,93.7,64.6,10.9,15,0.5,2.7,3.2
2012,754,White County,N,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",H,87.8,59.4,10.2,14.1,0,4.1,4.1
2012,606,Banks County,N,0107,Banks County Elementary School,"03, 04, 05",E,91.6,62.7,10.5,14.3,1,3.1,4.1
2012,606,Banks County,N,0199,Banks County High School,"09, 10, 11, 12",H,72.9,51,8.4,12.2,0.5,0.8,1.3
